Project Publiek,Bram Van Oostveldt,5,A005641
Onderzoeksseminarie I,Pieter-Jan Maes,10,A005642
Onderzoeksseminarie II,Marjan Sterckx,10,A005643
Anthropology of Love and Intimate Connections,Aymon Kreil,5,A005644
Inleiding tot ondernemingsrecht,Diederik Bruloot,3,A005646
Bachelorproef,Tom Claes,10,A005647
Bachelorproef,Tom Claes,10,A005648
Art and Archaeology of South Asia,Daniela De Simone,5,A005649
Contemporary Asian Academic Debates 1,Akshara Ravishankar,3,A005650
Contemporary Asian Academic Debates 2,Muhamed Riyaz Chenganakkattil,3,A005651
Geschiedenis van de Griekse en Romeinse Oudheid,Thierry Oppeneer,5,A005656
Heuristiek: Oude Geschiedenis,Dineke Riët Slotman,5,A005657
Historische praktijk II: Oude Geschiedenis,Andries Johan Zuiderhoek,5,A005659
Hedendaagse kunst: werelden van verbeelding,Wouter Davidts,5,A005661
Dutch as a Foreign Language: CEFR C1,Chloé Lybaert,6,A005662
Russisch: Grammatica I,Johanna Hautekiet,4,A005663
Russisch: Taalpraktijk I,Bart Hendrickx,4,A005664
Russisch: Grammatica II,Johanna Hautekiet,4,A005665
Russisch: Taalpraktijk II,Bart Hendrickx,5,A005666
Russisch: Taal en tekst I,Aleksey Yudin,8,A005667
Russisch: Taal en tekst II,Aleksey Yudin,7,A005668
Bulgaars II,Dieter Stern,8,A005669
Bulgaars III,Dieter Stern,4,A005670
Bosnisch/Kroatisch/Servisch II,Pieter Troch,8,A005671
Bosnisch/Kroatisch/Servisch III,Pieter Troch,4,A005672
Sloveens II,Dieter Stern,8,A005673
Sloveens III,Dieter Stern,4,A005674
Russisch: Taal en tekst III,Aleksey Yudin,6,A005675
Oekraïens,Aleksey Yudin,5,A005676
Zweeds: Taalvaardigheid I,Andreas Widoff,5,A005682
Zweeds: Taalvaardigheid II,Andreas Widoff,5,A005683
Zweedse letterkunde: Inleiding tot de verhaalanalyse,Daan Vandenhaute,5,A005684
Zweedse taalkunde: Inleiding,Andreas Widoff,5,A005685
Zweeds: Taalvaardigheid III,Andreas Widoff,5,A005686
Zweedse letterkunde: Literatuurgeschiedenis,Daan Vandenhaute,5,A005687
Zweedse letterkunde: Proza,Daan Vandenhaute,5,A005688
